ID,frequency,source,destination,start,stop,duration,days,timeSpentInDay
1063,Ka Band,HLS-Descent,LCN-12hourfrozen-2-LowPower,15.966469907407408,16.123559699074075,0.15708979166666737,"[15, 16]","[0.0335300925925921, 0.12355969907407527]"
1064,Ka Band,HLS-Descent,LCN-12hourfrozen-2-LowPower,16.156543819444444,16.207373541666666,0.05082972222222182,[16],[0.05082972222222182]
1056,Ka Band,HLS-Descent,LCN-12hourfrozen-1-LowPower,16.401359375000002,16.4511309375,0.04977156249999837,[16],[0.04977156249999837]
1065,Ka Band,HLS-Descent,LCN-12hourfrozen-2-LowPower,16.301062337962964,16.34981712962963,0.048754791666667074,[16],[0.048754791666667074]
1054,Ka Band,HLS-Descent,LCN-12hourfrozen-1-LowPower,16.22964400462963,16.275989930555557,0.04634592592592668,[16],[0.04634592592592668]
1067,Ka Band,HLS-Descent,LCN-12hourfrozen-2-LowPower,16.47565627314815,16.503859074074075,0.028202800925924976,[16],[0.028202800925924976]
1068,S Band,HLS-Descent,LCN-12hourfrozen-2-LowPower,15.633832303240743,15.749792696759258,0.11596039351851495,[15],[0.11596039351851495]
965,Ka Band,HLS-Ascent,LCN-12hourfrozen-1-LowPower,22.623505636574077,22.89224537037037,0.2687397337962949,[22],[0.2687397337962949]
959,Ka Band,HLS-Ascent,LCN-12hourfrozen-1-LowPower,22.099999999999998,22.26353920138889,0.16353920138889322,[22],[0.16353920138889322]
978,Ka Band,HLS-Ascent,LCN-12hourfrozen-2-LowPower,22.46647625,22.510275069444443,0.04379881944444364,[22],[0.04379881944444364]
979,Ka Band,HLS-Ascent,LCN-12hourfrozen-2-LowPower,22.54608693287037,22.589394166666665,0.04330723379629475,[22],[0.04330723379629475]
960,Ka Band,HLS-Ascent,LCN-12hourfrozen-1-LowPower,22.300581400462963,22.34382666666667,0.04324526620370506,[22],[0.04324526620370506]
977,Ka Band,HLS-Ascent,LCN-12hourfrozen-2-LowPower,22.388241041666664,22.431233078703702,0.042992037037038244,[22],[0.042992037037038244]
975,Ka Band,HLS-Ascent,LCN-12hourfrozen-2-LowPower,22.264014155092596,22.28634074074074,0.022326585648144714,[22],[0.022326585648144714]
973,S Band,HLS-Ascent,LCN-12hourfrozen-1-LowPower,23.021896446759257,23.109677557870373,0.08778111111111642,[23],[0.08778111111111642]
1422,Ka Band,HLS-NRHO,LCN-12hourfrozen-1-LowPower,9.238530092592592,9.73505787037037,0.49652777777777857,[9],[0.49652777777777857]
1433,Ka Band,HLS-NRHO,LCN-12hourfrozen-2-LowPower,2.4377430555555555,2.877326388888889,0.43958333333333366,[2],[0.43958333333333366]
1444,S Band,HLS-NRHO,LCN-12hourfrozen-2-LowPower,9.750353148148148,10.2367159375,0.4863627893518512,"[9, 10]","[0.24964685185185154, 0.23671593749999964]"
1439,S Band,HLS-NRHO,LCN-12hourfrozen-2-LowPower,3.264140659722223,3.7134375,0.44929684027777705,[3],[0.44929684027777705]
1437,S Band,HLS-NRHO,LCN-12hourfrozen-2-LowPower,1.8021412037037037,2.2374708217592594,0.4353296180555557,"[1, 2]","[0.19785879629629632, 0.23747082175925938]"
1429,S Band,HLS-NRHO,LCN-12hourfrozen-1-LowPower,8.568460648148148,8.996936226851853,0.42847557870370423,[8],[0.42847557870370423]
1445,S Band,HLS-NRHO,LCN-12hourfrozen-2-LowPower,10.256529178240742,10.613472222222223,0.3569430439814809,[10],[0.3569430439814809]
1436,S Band,HLS-NRHO,LCN-12hourfrozen-2-LowPower,1.462777777777778,1.6523611111111112,0.18958333333333321,[1],[0.18958333333333321]
1285,Ka Band,HLS-NRHO,DSS-24,0.8204334027777778,1.4044500115740741,0.5840166087962964,"[0, 1]","[0.17956659722222224, 0.4044500115740741]"
1288,Ka Band,HLS-NRHO,DSS-24,3.954684490740741,4.471483564814815,0.5167990740740738,"[3, 4]","[0.0453155092592592, 0.47148356481481457]"
1289,Ka Band,HLS-NRHO,DSS-24,4.992243252314815,5.480989166666666,0.4887459143518518,"[4, 5]","[0.007756747685185417, 0.48098916666666636]"
1290,Ka Band,HLS-NRHO,DSS-24,6.027398692129629,6.493603055555556,0.46620436342592697,[6],[0.46620436342592697]
1291,Ka Band,HLS-NRHO,DSS-24,7.062321782407406,7.510512638888888,0.4481908564814816,[7],[0.4481908564814816]
1284,Ka Band,HLS-NRHO,DSS-24,0.0,0.3718070138888889,0.3718070138888889,[0],[0.3718070138888889]
1506,Ka Band,HLS-Surface,LCN-12hourfrozen-1-LowPower,16.564103761574074,16.953316875000002,0.389213113425928,[16],[0.389213113425928]
1507,Ka Band,HLS-Surface,LCN-12hourfrozen-1-LowPower,17.064397256944442,17.453419803240738,0.38902254629629596,[17],[0.38902254629629596]
1508,Ka Band,HLS-Surface,LCN-12hourfrozen-1-LowPower,17.564641527777777,17.953482106481484,0.38884057870370725,[17],[0.38884057870370725]
1509,Ka Band,HLS-Surface,LCN-12hourfrozen-1-LowPower,18.064832384259258,18.45350283564815,0.3886704513888901,[18],[0.3886704513888901]
1510,Ka Band,HLS-Surface,LCN-12hourfrozen-1-LowPower,18.564966608796297,18.953481516203706,0.38851490740740857,[18],[0.38851490740740857]
1511,Ka Band,HLS-Surface,LCN-12hourfrozen-1-LowPower,19.06504178240741,19.45341809027778,0.38837630787037014,[19],[0.38837630787037014]
1512,Ka Band,HLS-Surface,LCN-12hourfrozen-1-LowPower,19.565056342592595,19.953313009259258,0.38825666666666336,[19],[0.38825666666666336]
