OCO-2,8102.52,0.34,71.93,11.06,101.61,60.30,0.00,2460110.38,403503.24,earth
Jason-3,2606.17,0.52,75.28,10.11,276.10,156.76,0.00,2460110.38,403503.24,earth
SMAP,5712.97,0.43,123.34,68.76,131.50,81.18,0.00,2460110.38,403503.24,earth
TERRA,16671.60,0.55,117.78,115.19,236.01,338.29,0.00,2460110.38,403503.24,earth
NuSTAR,26242.22,0.61,27.60,316.17,201.91,7.33,0.00,2460109.76,403503.24,earth
MRO,3651.51,0.01,105.65,262.32,19.57,321.03,0.00,2460092.86,42828.37,mars
Mars Odyssey,3801.87,0.01,66.73,273.07,250.85,75.62,0.00,2460092.86,42828.37,mars
LRO,1829.80,0.02,85.61,198.45,149.81,248.32,0.00,2460218.50,4902.80,moon
