ID,frequency,source,destination,start,stop,duration,conflicts,days,timeSpentInDay
192,Ka Band,Sat1,ASF,13.65600223839283,13.670002240687609,0.014000002294778824,[],[13],[0.014000002294778824]
3,Ka Band,Sat1,ASF,0.14950002450495958,0.16300002671778202,0.013500002212822437,[],[0],[0.013500002212822437]
11,Ka Band,Sat1,ASF,0.7300001196563244,0.7435001218691468,0.013500002212822437,[],[0],[0.013500002212822437]
17,Ka Band,Sat1,ASF,1.1490001883357763,1.1625001905485988,0.013500002212822437,[],[1],[0.013500002212822437]
18,Ka Band,Sat1,ASF,1.2200001999735832,1.2335002021864057,0.013500002212822437,[],[1],[0.013500002212822437]
25,Ka Band,Sat1,ASF,1.7300002835690975,1.74350028578192,0.013500002212822437,[],[1],[0.013500002212822437]
26,Ka Band,Sat1,ASF,1.800500295124948,1.8140002973377705,0.013500002212822437,[],[1],[0.013500002212822437]
31,Ka Band,Sat1,ASF,2.1490003522485495,2.162500354461372,0.013500002212822437,[],[2],[0.013500002212822437]
39,Ka Band,Sat1,ASF,2.7300004474818707,2.743500449694693,0.013500002212822437,[],[2],[0.013500002212822437]
45,Ka Band,Sat1,ASF,3.148500516079366,3.1620005182921886,0.013500002212822437,[],[3],[0.013500002212822437]
53,Ka Band,Sat1,ASF,3.7295006113126874,3.74300061352551,0.013500002212822437,[],[3],[0.013500002212822437]
54,Ka Band,Sat1,ASF,3.800000622868538,3.8135006250813603,0.013500002212822437,[],[3],[0.013500002212822437]
59,Ka Band,Sat1,ASF,4.148500679992139,4.162000682204962,0.013500002212822437,[],[4],[0.013500002212822437]
60,Ka Band,Sat1,ASF,4.219500691629946,4.233000693842769,0.013500002212822437,[],[4],[0.013500002212822437]
67,Ka Band,Sat1,ASF,4.7295007752254605,4.743000777438283,0.013500002212822437,[],[4],[0.013500002212822437]
73,Ka Band,Sat1,ASF,5.148000843822956,5.1615008460357785,0.013500002212822437,[],[5],[0.013500002212822437]
80,Ka Band,Sat1,ASF,5.65800092741847,5.671500929631293,0.013500002212822437,[],[5],[0.013500002212822437]
81,Ka Band,Sat1,ASF,5.729000939056277,5.7425009412691,0.013500002212822437,[],[5],[0.013500002212822437]
87,Ka Band,Sat1,ASF,6.148001007735729,6.161501009948552,0.013500002212822437,[],[6],[0.013500002212822437]
95,Ka Band,Sat1,ASF,6.72900110296905,6.742501105181873,0.013500002212822437,[],[6],[0.013500002212822437]
100,Ka Band,Sat1,ASF,7.0770011600106955,7.090501162223518,0.013500002212822437,[],[7],[0.013500002212822437]
101,Ka Band,Sat1,ASF,7.147501171566546,7.161001173779368,0.013500002212822437,[],[7],[0.013500002212822437]
108,Ka Band,Sat1,ASF,7.65750125516206,7.671001257374883,0.013500002212822437,[],[7],[0.013500002212822437]
109,Ka Band,Sat1,ASF,7.728501266799867,7.74200126901269,0.013500002212822437,[],[7],[0.013500002212822437]
115,Ka Band,Sat1,ASF,8.147501335479319,8.161001337692142,0.013500002212822437,[],[8],[0.013500002212822437]
122,Ka Band,Sat1,ASF,8.657501419074833,8.671001421287656,0.013500002212822437,[],[8],[0.013500002212822437]
128,Ka Band,Sat1,ASF,9.076501487754285,9.090001489967108,0.013500002212822437,[],[9],[0.013500002212822437]
129,Ka Band,Sat1,ASF,9.147001499310136,9.160501501522958,0.013500002212822437,[],[9],[0.013500002212822437]
136,Ka Band,Sat1,ASF,9.65700158290565,9.670501585118473,0.013500002212822437,[],[9],[0.013500002212822437]
137,Ka Band,Sat1,ASF,9.728001594543457,9.74150159675628,0.013500002212822437,[],[9],[0.013500002212822437]
143,Ka Band,Sat1,ASF,10.147001663222909,10.160501665435731,0.013500002212822437,[],[10],[0.013500002212822437]
150,Ka Band,Sat1,ASF,10.657001746818423,10.670501749031246,0.013500002212822437,[],[10],[0.013500002212822437]
151,Ka Band,Sat1,ASF,10.727501758374274,10.741001760587096,0.013500002212822437,[],[10],[0.013500002212822437]
156,Ka Band,Sat1,ASF,11.076001815497875,11.089501817710698,0.013500002212822437,[],[11],[0.013500002212822437]
164,Ka Band,Sat1,ASF,11.65650191064924,11.670001912862062,0.013500002212822437,[],[11],[0.013500002212822437]
165,Ka Band,Sat1,ASF,11.727501922287047,11.74100192449987,0.013500002212822437,[],[11],[0.013500002212822437]
170,Ka Band,Sat1,ASF,12.075501979328692,12.089001981541514,0.013500002212822437,[],[12],[0.013500002212822437]
171,Ka Band,Sat1,ASF,12.146501990966499,12.160001993179321,0.013500002212822437,[],[12],[0.013500002212822437]
178,Ka Band,Sat1,ASF,12.656502074562013,12.670002076774836,0.013500002212822437,[],[12],[0.013500002212822437]
179,Ka Band,Sat1,ASF,12.727002086117864,12.740502088330686,0.013500002212822437,[],[12],[0.013500002212822437]
184,Ka Band,Sat1,ASF,13.075502143241465,13.089002145454288,0.013500002212822437,[],[13],[0.013500002212822437]
198,Ka Band,Sat1,ASF,14.075002307072282,14.088502309285104,0.013500002212822437,[],[14],[0.013500002212822437]
206,Ka Band,Sat1,ASF,14.656002402305603,14.669502404518425,0.013500002212822437,[],[14],[0.013500002212822437]
212,Ka Band,Sat1,ASF,15.075002470985055,15.088502473197877,0.013500002212822437,[],[15],[0.013500002212822437]
220,Ka Band,Sat1,ASF,15.656002566218376,15.669502568431199,0.013500002212822437,[],[15],[0.013500002212822437]
226,Ka Band,Sat1,ASF,16.07450263481587,16.088002637028694,0.013500002212822437,[],[16],[0.013500002212822437]
234,Ka Band,Sat1,ASF,16.655502730049193,16.669002732262015,0.013500002212822437,[],[16],[0.013500002212822437]
