ID,frequency,source,destination,start,stop,duration,conflicts,days,timeSpentInDay
171,Ka Band,Sat1,ASF,15.097929491946564,15.109371962276441,0.011442470329876997,[],[15],[0.011442470329876997]
176,Ka Band,Sat1,ASF,15.679753495868754,15.691195891838602,0.011442395969847752,[],[15],[0.011442395969847752]
165,Ka Band,Sat1,ASF,14.67851894174625,14.689960025844114,0.011441084097864263,[],[14],[0.011441084097864263]
182,Ka Band,Sat1,ASF,16.099165950104066,16.110606553084644,0.011440602980577808,[],[16],[0.011440602980577808]
160,Ka Band,Sat1,ASF,14.096697660636927,14.108137768903815,0.01144010826688735,[],[14],[0.01144010826688735]
187,Ka Band,Sat1,ASF,16.680987628528896,16.692427136328078,0.01143950779918157,[],[16],[0.01143950779918157]
154,Ka Band,Sat1,ASF,13.677284026427996,13.688719460825121,0.011435434397125022,[],[13],[0.011435434397125022]
193,Ka Band,Sat1,ASF,17.100407133407565,17.11184151111434,0.011434377706773802,[],[17],[0.011434377706773802]
149,Ka Band,Sat1,ASF,13.095470391921738,13.106904010791219,0.011433618869480355,[],[13],[0.011433618869480355]
198,Ka Band,Sat1,ASF,17.682221337942355,17.693653830922948,0.011432492980592457,[],[17],[0.011432492980592457]
2,Ka Band,Sat1,ASF,0.150270259799235,0.16169566306642666,0.011425403267191658,[],[0],[0.011425403267191658]
143,Ka Band,Sat1,ASF,12.67604877577269,12.687474098989954,0.011425323217263639,[],[12],[0.011425323217263639]
204,Ka Band,Sat1,ASF,18.10165307976601,18.113076800676826,0.011423720910816115,[],[18],[0.011423720910816115]
7,Ka Band,Sat1,ASF,0.7320736904596744,0.7434968808647731,0.011423190405098649,[],[0],[0.011423190405098649]
138,Ka Band,Sat1,ASF,12.094247591367173,12.105670723220124,0.011423131852950519,[],[12],[0.011423131852950519]
209,Ka Band,Sat1,ASF,18.68345456015275,18.694876056590463,0.01142149643771262,[],[18],[0.01142149643771262]
334,Ka Band,Sat1,ASF,29.626194453846466,29.63760737025088,0.011412916404413664,[],[29],[0.011412916404413664]
329,Ka Band,Sat1,ASF,29.04440782919862,29.055818693589487,0.011410864390867914,[],[29],[0.011410864390867914]
13,Ka Band,Sat1,ASF,1.1515204346838988,1.1629312219238541,0.011410787239955367,[],[1],[0.011410787239955367]
132,Ka Band,Sat1,ASF,11.674813228432555,11.686223925815256,0.011410697382700619,[],[11],[0.011410697382700619]
18,Ka Band,Sat1,ASF,1.7333064843927402,1.7447152966374622,0.01140881224472201,[],[1],[0.01140881224472201]
127,Ka Band,Sat1,ASF,11.0930292114231,11.104437937750253,0.011408726327152507,[],[11],[0.011408726327152507]
215,Ka Band,Sat1,ASF,19.10290390676281,19.11431239794284,0.011408491180031177,[],[19],[0.011408491180031177]
220,Ka Band,Sat1,ASF,19.684687284633767,19.69609389089894,0.011406606265172314,[],[19],[0.011406606265172314]
323,Ka Band,Sat1,ASF,28.624958670484023,28.636352910471917,0.011394239987893684,[],[28],[0.011394239987893684]
318,Ka Band,Sat1,ASF,28.043193184446206,28.05458637626542,0.011393191819212944,[],[28],[0.011393191819212944]
24,Ka Band,Sat1,ASF,2.1527755322842794,2.1641670294541338,0.011391497169854325,[],[2],[0.011391497169854325]
121,Ka Band,Sat1,ASF,10.673577392977485,10.684968804460993,0.011391411483508307,[],[10],[0.011391411483508307]
29,Ka Band,Sat1,ASF,2.7345387276371116,2.745929384957673,0.011390657320561548,[],[2],[0.011390657320561548]
116,Ka Band,Sat1,ASF,10.091815138198468,10.103205694540874,0.011390556342405489,[],[10],[0.011390556342405489]
226,Ka Band,Sat1,ASF,20.104159666077525,20.115548237728714,0.011388571651188784,[],[20],[0.011388571651188784]
231,Ka Band,Sat1,ASF,20.68591945279447,20.69730740823335,0.011387955438880937,[],[20],[0.011387955438880937]
307,Ka Band,Sat1,ASF,27.041982798446217,27.053354631891015,0.011371833444798085,[],[27],[0.011371833444798085]
312,Ka Band,Sat1,ASF,27.623722641212368,27.63509347271055,0.01137083149818352,[],[27],[0.01137083149818352]
40,Ka Band,Sat1,ASF,3.73577041125326,3.747139229719559,0.011368818466299224,[],[3],[0.011368818466299224]
