ID,frequency,source,destination,start,stop,duration,conflicts,days,timeSpentInDay
0,Ka Band,THEMIS_C,WS1,0.0,0.332160215,0.332160215,"[{'Item1': 5, 'Item2': 4}, {'Item1': 17, 'Item2': 4}, {'Item1': 1, 'Item2': 4}, {'Item1': 210, 'Item2': 4}, {'Item1': 209, 'Item2': 4}, {'Item1': 208, 'Item2': 4}, {'Item1': 911, 'Item2': 4}, {'Item1': 260, 'Item2': 4}, {'Item1': 259, 'Item2': 4}, {'Item1': 628, 'Item2': 4}, {'Item1': 903, 'Item2': 4}, {'Item1': 904, 'Item2': 4}]",[0],[0.332160215]
5,Ka Band,THEMIS_C,WG11,0.0,0.196156951,0.196156951,"[{'Item1': 645, 'Item2': 4}, {'Item1': 646, 'Item2': 4}, {'Item1': 55, 'Item2': 4}, {'Item1': 448, 'Item2': 4}, {'Item1': 552, 'Item2': 4}, {'Item1': 241, 'Item2': 4}, {'Item1': 237, 'Item2': 4}, {'Item1': 484, 'Item2': 4}, {'Item1': 483, 'Item2': 4}, {'Item1': 650, 'Item2': 4}, {'Item1': 649, 'Item2': 4}, {'Item1': 793, 'Item2': -1}]",[0],[0.196156951]
17,Ka Band,THEMIS_C,AGO3,0.0,0.311916063,0.311916063,"[{'Item1': 5, 'Item2': 4}, {'Item1': 18, 'Item2': 4}, {'Item1': 265, 'Item2': 4}, {'Item1': 264, 'Item2': 4}, {'Item1': 263, 'Item2': 4}, {'Item1': 901, 'Item2': 4}, {'Item1': 256, 'Item2': 4}, {'Item1': 257, 'Item2': 4}, {'Item1': 282, 'Item2': 4}]",[0],[0.311916063]
34,Ka Band,THEMIS_C,USH2,0.0,0.556503156,0.556503156,"[{'Item1': 0, 'Item2': 4}, {'Item1': 5, 'Item2': 4}, {'Item1': 17, 'Item2': 4}, {'Item1': 931, 'Item2': -1}, {'Item1': 36, 'Item2': 4}, {'Item1': 24, 'Item2': 4}, {'Item1': 22, 'Item2': 4}, {'Item1': 23, 'Item2': 4}, {'Item1': 21, 'Item2': 4}, {'Item1': 20, 'Item2': 4}, {'Item1': 29, 'Item2': 4}, {'Item1': 32, 'Item2': 4}, {'Item1': 291, 'Item2': 4}, {'Item1': 641, 'Item2': 4}, {'Item1': 642, 'Item2': 4}, {'Item1': 290, 'Item2': 4}, {'Item1': 759, 'Item2': 4}, {'Item1': 760, 'Item2': 4}, {'Item1': 555, 'Item2': 4}, {'Item1': 557, 'Item2': 4}, {'Item1': 556, 'Item2': 4}, {'Item1': 558, 'Item2': 4}, {'Item1': 554, 'Item2': 4}, {'Item1': 938, 'Item2': -1}]",[0],[0.556503156]
35,Ka Band,THEMIS_C,USH2,0.9746749,1.0,0.02532509999999999,"[{'Item1': 31, 'Item2': -1}]","[0, 1]","[0.02532509999999999, 0.0]"
931,Ka Band,THEMIS_C,USD1,0.556503156,0.642514685,0.08601152899999998,"[{'Item1': 34, 'Item2': 1}, {'Item1': 932, 'Item2': 1}, {'Item1': 38, 'Item2': 1}, {'Item1': 624, 'Item2': 1}, {'Item1': 623, 'Item2': 1}, {'Item1': 622, 'Item2': 1}, {'Item1': 620, 'Item2': 1}, {'Item1': 621, 'Item2': 1}, {'Item1': 876, 'Item2': 1}, {'Item1': 878, 'Item2': 6}, {'Item1': 877, 'Item2': 1}, {'Item1': 102, 'Item2': 1}, {'Item1': 123, 'Item2': 1}, {'Item1': 942, 'Item2': 1}, {'Item1': 940, 'Item2': 1}, {'Item1': 941, 'Item2': 1}, {'Item1': 217, 'Item2': 6}, {'Item1': 295, 'Item2': 1}, {'Item1': 1070, 'Item2': 6}]",[0],[0.08601152899999998]
1,Ka Band,THEMIS_D,WS1,0.0,0.287359495,0.287359495,"[{'Item1': 6, 'Item2': 4}, {'Item1': 7, 'Item2': -1}, {'Item1': 18, 'Item2': 4}, {'Item1': 36, 'Item2': 4}, {'Item1': 210, 'Item2': -1}, {'Item1': 209, 'Item2': 4}, {'Item1': 208, 'Item2': 4}, {'Item1': 260, 'Item2': 4}, {'Item1': 259, 'Item2': 4}, {'Item1': 628, 'Item2': 4}, {'Item1': 903, 'Item2': 4}]",[0],[0.287359495]
2,Ka Band,THEMIS_D,WS1,0.773570788,1.0,0.226429212,"[{'Item1': 37, 'Item2': -1}, {'Item1': 215, 'Item2': 1}, {'Item1': 214, 'Item2': 1}, {'Item1': 913, 'Item2': 1}, {'Item1': 1071, 'Item2': -1}, {'Item1': 1072, 'Item2': -1}, {'Item1': 960, 'Item2': 1}]","[0, 1]","[0.226429212, 0.0]"
8,Ka Band,THEMIS_D,WG11,0.675474256,1.0,0.324525744,"[{'Item1': 2, 'Item2': -1}, {'Item1': 37, 'Item2': -1}, {'Item1': 57, 'Item2': 1}, {'Item1': 451, 'Item2': -1}, {'Item1': 874, 'Item2': 1}, {'Item1': 873, 'Item2': 1}, {'Item1': 1067, 'Item2': -1}, {'Item1': 1069, 'Item2': -1}, {'Item1': 243, 'Item2': 1}, {'Item1': 240, 'Item2': 1}, {'Item1': 930, 'Item2': 1}, {'Item1': 937, 'Item2': 1}, {'Item1': 899, 'Item2': 1}, {'Item1': 900, 'Item2': 1}, {'Item1': 910, 'Item2': 1}, {'Item1': 909, 'Item2': 1}, {'Item1': 486, 'Item2': 1}, {'Item1': 487, 'Item2': -1}, {'Item1': 651, 'Item2': 1}, {'Item1': 935, 'Item2': 1}, {'Item1': 1074, 'Item2': 1}, {'Item1': 915, 'Item2': 1}, {'Item1': 1028, 'Item2': 1}, {'Item1': 951, 'Item2': 1}, {'Item1': 1073, 'Item2': -1}]","[0, 1]","[0.324525744, 0.0]"
6,Ka Band,THEMIS_D,WG11,0.0,0.201444801,0.201444801,"[{'Item1': 5, 'Item2': 4}, {'Item1': 18, 'Item2': 4}, {'Item1': 645, 'Item2': 4}, {'Item1': 646, 'Item2': 4}, {'Item1': 55, 'Item2': 4}, {'Item1': 448, 'Item2': 4}, {'Item1': 552, 'Item2': 4}, {'Item1': 241, 'Item2': 4}, {'Item1': 237, 'Item2': 4}, {'Item1': 484, 'Item2': 4}, {'Item1': 483, 'Item2': 4}, {'Item1': 650, 'Item2': 4}, {'Item1': 649, 'Item2': 4}, {'Item1': 793, 'Item2': 4}]",[0],[0.201444801]
7,Ka Band,THEMIS_D,WG11,0.264980806,0.289137077,0.024156271000000007,"[{'Item1': 1, 'Item2': 1}, {'Item1': 36, 'Item2': 1}, {'Item1': 907, 'Item2': 1}, {'Item1': 794, 'Item2': 1}]",[0],[0.024156271000000007]
